target_name	target id	gbid	score_final	antismashfile	cluster_num	cluster_type	distance	species	phyla	homologs	homologs_list	redundant	redundant_list	count	copynum	coevolution score	positive	pos_homolog	pos_redundant
Gyrase B	GyrB-R	CP003600	15	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP003600_2567357_3101597/index.html	cluster-2	t1pks-nrps	17013	Chamaesiphon minutus PCC 6605	Cyanobacteria	-1	[]	-1	[]	0	2	-1.0	False	False	False
Threonyl-tRNA synthetase	borI_Thr-tRNA-syn	OBDL01000006	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/OBDL01000006/index.html	cluster-2	t1pks	10300	Rhodococcus sp. OK270	Actinobacteria	0	[]	3	[u'CP019572', u'JMLO01000001']	31	2	10.3896608927	False	False	False
Threonyl-tRNA synthetase	borI_Thr-tRNA-syn	ANBB01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ANBB01000001/index.html	cluster-1	t1pks	19442	Nocardiopsis potens DSM 45234	Actinobacteria	0	[]	1	[]	31	2	9.73430199212	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LT721901	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LT721901_4855155_5315089/index.html	cluster-2	t1pks-nrps	4946	Mycobacterium sp. AB57	Actinobacteria	0	[]	3	[u'AP018164', u'FUEZ01000004']	169	2	15.6826230487	False	False	False
Translation initiation factor	rubR1_TIF	AJ871581	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AJ871581/index.html	cluster-1	aminocoumarin-t1pks-nrps	3935	Streptomyces achromogenes subsp. rubradiris	Actinobacteria	0	[]	1	[]	41	4	10.3840397069	True	False	False
Acetyl CoA carboxylase	AdmT_ACC	FZOR01000007	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FZOR01000007/index.html	cluster-2	t1pks-nrps	7053	Actinomadura meyerae	Actinobacteria	0	[]	1	[]	64	2	18.3853673271	False	False	False
Elongation factor Tu	EF-Tu	RBIY01000001	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RBIY01000001_7784723_8085601/index.html	cluster-1	t1pks-otherks	2901	Streptomyces sp. 3212.4	Actinobacteria	-1	[]	-1	[]	0	4	-1.0	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	BDBD01000011	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BDBD01000011_867822_1244349/index.html	cluster-1	nrps-t1pks-otherks	4158	Nocardia coubleae NBRC 108252	Actinobacteria	1	[u'PDDW01000001']	1	[]	57	2	18.7838950702	False	False	False
Elongation factor Tu	EF-Tu	CP025583	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP025583/index.html	cluster-2	t1pks-nrps	14705	Paracoccus sp. CBA4604	Proteobacteria	0	[]	3	[]	77	6	17.2412163507	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	MVHS01000016	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVHS01000016/index.html	cluster-1	t1pks-nrps	11190	Mycolicibacterium insubricum	Actinobacteria	1	[u'LQOJ01000049']	1	[]	169	2	12.6304333203	False	False	False
