target_name	gbid	score_final	antismashfile	cluster_num	cluster_type	homologs	homologs_list	pident_list	redundant	redundant_list	ks_start	ks_end	gene_name	target_start	target_end	cluster_coord	species	phyla	d	score_distance	count	score_target_frequency	score	score_coevolution	copynum	complete	score_copy	score_homologs	positive	pos_homolog	pos_redundant
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	CP011497	70	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP011497_1378671_1684669/index.html	cluster-1	t1pks-nrps	1	[u'LN879416']	[81.952663]	2	[u'KE354369']	1528727	1529065	1528668	1529873	ctg1_138	1513395-1562182	Streptomyces incarnatus	Actinobacteria	397	20	13	10	2.542582389	20	2	FALSE	10	10	FALSE	FALSE	TRUE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	LN879416	70	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/LN879416/index.html	cluster-1	t1pks-nrps	2	"[u'CP011497', u'KE354369']"	"[81.952663, 84.365782]"	1	[]	11754	12093	11712	12866	ssuF1	1-27100	Streptomyces sp. MG11	Actinobacteria	381	20	13	10	4.933826704	20	2	FALSE	10	10	FALSE	TRUE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	KE354369	70	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KE354369/index.html	cluster-1	t1pks-nrps	1	[u'LN879416']	[84.365782]	2	[u'CP011497']	27540	27879	27505	28638	STAFG_7039	1-31725	Streptomyces afghaniensis 772	Actinobacteria	374	20	13	10	4.987156656	20	2	FALSE	10	10	TRUE	FALSE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	KB895228	65	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB895228/index.html	cluster-1	t1pks-nrps	1	[u'FQ859185']	[82.697947]	3	"[u'JOGB01000030', u'KB913022']"	74475	74816	74413	75633	ctg1_77	59081-100444	Salinispora pacifica CNT045	Actinobacteria	403	20	13	10	3.012383328	20	1	FALSE	5	10	FALSE	FALSE	TRUE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	JOGB01000030	65	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOGB01000030/index.html	cluster-1	t1pks-nrps	2	"[u'FQ859185', u'KZ195583']"	"[83.577713, 82.111437]"	3	"[u'KB895228', u'KB913022']"	48095	48436	48033	49253	ctg1_37	32716-82613	Streptomyces sp. NRRL S-87	Actinobacteria	403	20	13	10	3.241380267	20	1	FALSE	5	10	FALSE	FALSE	TRUE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	KZ195583	65	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ195583_6378092_6794013/index.html	cluster-2	t3pks-lantipeptide-t1pks-nrps	3	"[u'FQ859185', u'JOGB01000030', u'KB913022']"	"[81.231672, 82.111437, 80.351906]"	1	[]	6787845	6788186	6787788	6788993	ctg1_229	6462905-6794013	Streptomyces sp. CS227	Actinobacteria	398	20	13	10	2.767579423	20	1	FALSE	5	10	FALSE	TRUE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	KB913022	65	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB913022_4507807_4813779/index.html	cluster-1	t1pks-nrps	2	"[u'FQ859185', u'KZ195583']"	"[83.284457, 80.351906]"	3	"[u'JOGB01000030', u'KB895228']"	4662651	4662992	4662589	4663809	ctg1_157	4629292-4679066	Salinispora pacifica DSM 45543 = CNS-863	Actinobacteria	403	20	13	10	2.988017025	20	1	FALSE	5	10	TRUE	FALSE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	FQ859185	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FQ859185_5880239_6283062/index.html	cluster-4	t1pks-butyrolactone-nrps	4	"[u'JOGB01000030', u'KB895228', u'KB913022', u'KZ195583']"	"[83.577713, 82.697947, 83.284457, 81.231672]"	1	[]	6195966	6196307	6195903	6197126	ctg1_271	6163657-6250787	Streptomyces cattleya NRRL 8057 = DSM 46488	Actinobacteria	404	20	13	10	3.275720799	20	1	TRUE	0	10	FALSE	TRUE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	LN879418	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/LN879418/index.html	cluster-1	t1pks-nrps	0	[]	[]	2	[u'JOIY01000044']	25107	25445	25078	26187	stuF2	1-26211	Streptomyces thiolactonus	Actinobacteria	367	20	13	10	6.216890769	20	2	FALSE	10	0	FALSE	FALSE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	FOAZ01000002	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FOAZ01000002/index.html	cluster-4	butyrolactone-terpene-t1pks-otherks	0	[]	[]	1	[]	613111	613451	613047	614267	SAMN05414137_102592	538865-613404	Streptacidiphilus jiangxiensis	Actinobacteria	404	20	13	10	2.727552272	20	1	FALSE	5	0	FALSE	FALSE	FALSE
