target_name		gbid	score_final	antismashfile	cluster_num	cluster_type	distance	species	phyla	homologs	homologs_list	pident_list	redundant	target count 	copynum	coevolution score	in pos set	in pos set homologs	in pos set redundnat
ATP-dependent Clp protease proteolytic subunit	sp_P0A6G7_CLPP_ECOLI	CP020046	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP020046_207075_639878/index.html	cluster-1	hserlactone-transatpks-t1pks-nrps	572	Thiomonas intermedia	Proteobacteria	-1	[]	-1	[]	0	2	-1	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	RBIY01000001	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RBIY01000001_7784723_8085601/index.html	cluster-1	t1pks-otherks	2901	Streptomyces sp. 3212.4	Actinobacteria	-1	[]	-1	[]	0	2	-1	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	JNZI01000016	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNZI01000016/index.html	cluster-1	lantipeptide-t1pks-nrps	816	Streptomyces griseus subsp. griseus	Actinobacteria	6	"[u'BBNN01000039', u'CP019724', u'CP019724', u'JOFW01000016', u'JOIZ01000015', u'LMTQ02000032']"	28	"[u'AMPN02000002', u'CM002271', u'CP004370', u'CP009802', u'CP014485', u'CP016824', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FMCM01000285', u'FR873698', u'JHDU01000020', u'JOGQ01000019', u'JOGU01000015', u'JTCK01000028', u'KB890710', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'MNPQ01000024', u'NZ_AZYD01000015', u'UHID01000005']"	69	1	6.584710425	FALSE	FALSE	FALSE
Aminodeoxychorismate lyase	sp_P28305_PABC_ECOLI	UFWO01000001	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UFWO01000001_2863418_3195087/index.html	cluster-1	t1pks-nrps	141	Citrobacter freundii	Proteobacteria	0	[]	1	[]	1	1	0	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	BBNN01000050	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBNN01000050/index.html	cluster-1	t1pks-butyrolactone	954	Streptomyces sp. NBRC 110035	Actinobacteria	1	[u'AP010968']	29	"[u'BA000030', u'CP006259', u'CP015588', u'CP016279', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JODF01000057', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LBDA02000024', u'LGDV01000038', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'NZ_KN039947', u'PHUI01000001', u'PJMO01000001', u'QLLW01000001', u'QXCZ01000001']"	44	1	13.40216938	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	LPFZ01000051	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPFZ01000051/index.html	cluster-1	bacteriocin-transatpks-t1pks-nrps	4642	Burkholderia ubonensis	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	1	5.793340579	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	PHAG01000006	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PHAG01000006/index.html	cluster-2	transatpks	3135	Firmicutes bacterium HGW-Firmicutes-1 (groundwater metagenome)	Firmicutes	0	[]	1	[]	4	1	13.6173813	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	MQUS01000004	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MQUS01000004/index.html	cluster-2	t1pks-otherks	3317	Streptomyces sp. IMTB 2501	Actinobacteria	-1	[]	-1	[]	0	1	-1	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	CP013730	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013730_3236273_3537538/index.html	cluster-1	t1pks	3	Burkholderia cepacia JBK9	Proteobacteria	17	"[u'AP013062', u'BBJF01000005', u'CP017562', u'CP023522', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JSZN01000033', u'KN150849', u'LAVN01000003', u'LOWB01000076', u'LPEQ01000122', u'LPKA01000024', u'ML058600', u'NBSQ01000002', u'QJSQ01000029', u'RAIM01000002']"	17	"[u'CP015033', u'CP015036', u'CP016442', u'CP029824', u'JPGM01000008', u'KI421535', u'KN150939', u'LDWR01000005', u'LOWV01000038', u'LOYC01000030', u'LOYN01000022', u'LPCO01000066', u'LR025742', u'OEOG01000026', u'PVGX01000094', u'PVHJ01000137']"	37	2	5.267940046	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	CP029824	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP029824_0_162020/index.html	cluster-1	t1pks	1	Burkholderia sp. JP2-270	Proteobacteria	17	"[u'AP013062', u'BBJF01000005', u'CP017562', u'CP023522', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JSZN01000033', u'KN150849', u'LAVN01000003', u'LOWB01000076', u'LPEQ01000122', u'LPKA01000024', u'ML058600', u'NBSQ01000002', u'QJSQ01000029', u'RAIM01000002']"	17	"[u'CP013730', u'CP015033', u'CP015036', u'CP016442', u'JPGM01000008', u'KI421535', u'KN150939', u'LDWR01000005', u'LOWV01000038', u'LOYC01000030', u'LOYN01000022', u'LPCO01000066', u'LR025742', u'OEOG01000026', u'PVGX01000094', u'PVHJ01000137']"	37	2	5.32273722	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	FUWR01000013	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FUWR01000013/index.html	cluster-1	t1pks	4441	Geobacter thiogenes	Proteobacteria	0	[]	1	[]	52	1	10.95643698	FALSE	FALSE	FALSE
Protein translocase subunit SecY	sp_P0AGA2_SECY_ECOLI	QIKP01000058	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QIKP01000058/index.html	cluster-1	t1pks	1995	Planctomycetaceae bacterium (hydrothermal vent metagenome)	Planctomycetes	0	[]	1	[]	1	1	0	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	KB846722	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB846722/index.html	cluster-1	t1pks	4162	Streptomyces sp. CNS615	Actinobacteria	5	"[u'BBNN01000039', u'JOHT01000001', u'LMTQ02000032', u'MOEP01000024', u'MUBL01000293']"	1	[]	69	1	7.804792717	FALSE	FALSE	FALSE
