							Rank1	Rank2			
JAFQ01000004|SalI_beta_proteasome|6606090|6606719|6346610|6347455|cluster-4|t1pks|6598115-6646505|258635	JAFQ01000004|SalI_beta_proteasome|6964942|6965364|6346610|6347455|cluster-6|t1pks|6944256-7030194|617487	629	422	12.082671	100	87.91732909	11332	396		Spearman:	0.321838588
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	LN831790|seryl-tRNA_synthetase|1095491|1095796|347431|348708|cluster-1|nrps-transatpks-terpene-otherks|1046004-1155931|746783	400	305	13.5	97.647059	84.14705882	11331	865			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	UGQT01000001|mupM_Ile-tRNA-syn|6051349|6051800|247692|250838|cluster-1|nrps-t1pks-otherks|6031337-6142115|5800511	654	451	16.666667	87.668593	71.00192678	11330	1465.5			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	JALN02000001|mupM_Ile-tRNA-syn|4031351|4031797|115655|118798|cluster-1|nrps-t1pks-otherks|4011351-4098485|3912553	272	446	16.911765	82.588011	65.67624671	11329	2557			
CP024986|seryl-tRNA_synthetase|171147|171543|98440|99717|cluster-1|butyrolactone-t2pks-t1pks-nrps|37383-205074|71430	MVGR01000005|seryl-tRNA_synthetase|139185|139640|544774|546057|cluster-1|otherks-t1pks-nrps|83960-162989|405134	396	455	17.171717	43.294118	26.12240048	11328	7030.5			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	JXCB01000004|agnB2_Leu-tRNA-syn|899612|900068|44646|47219|cluster-1|t1pks-otherks|879560-932985|852393	285	456	17.894737	47.841307	29.94657004	11327	5913			
CP024986|seryl-tRNA_synthetase|171147|171543|98440|99717|cluster-1|butyrolactone-t2pks-t1pks-nrps|37383-205074|71430	NZ_KN039947|seryl-tRNA_synthetase|3044605|3044882|999984|1001261|cluster-11|transatpks-otherks|3024459-3062555|2043344	396	277	17.929293	59.294118	41.36482472	11326	4728			
OAOJ01000001|seryl-tRNA_synthetase|8583050|8583402|2696209|2697495|cluster-2|t1pks|8570403-8614986|5885555	QXCZ01000001|seryl-tRNA_synthetase|8806974|8807399|2245377|2246654|cluster-1|t1pks-terpene-nrps|8757352-8840578|6560320	352	425	18.75	69.626168	50.87616822	11324	3598.5			
CP002047|SalI_beta_proteasome|1494308|1494548|3009209|3010054|cluster-8|nrps-otherks-t1pks-furan|1336592-1514066|1514661	CP022521|SalI_beta_proteasome|4583573|4584032|3942971|3943765|cluster-1|t1pks-otherks|4563566-4616209|639808	240	459	18.75	45.551601	26.80160142	11324	6285			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	UGQT01000001|mupM_Ile-tRNA-syn|5075428|5075851|247692|250838|cluster-1|t1pks-nrps|5055407-5120306|4824590	272	423	18.75	82.017127	63.26712655	11324	2669.5			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	QXCZ01000001|seryl-tRNA_synthetase|8806974|8807399|2245377|2246654|cluster-1|t1pks-terpene-nrps|8757352-8840578|6560320	400	425	19.25	71.294118	52.04411765	11322	3379			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	CP022657|agnB2_Leu-tRNA-syn|627691|628123|1626793|1629252|cluster-1|bacteriocin-transatpks-t1pks-siderophore-nrps|508770-677927|998670	285	432	19.649123	49.008168	29.35904522	11320.5	5806			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	QVIG01000001|agnB2_Leu-tRNA-syn|638815|639247|4301933|4304827|cluster-4|terpene-thiopeptide-lantipeptide-t1pks-nrps|578836-707863|3662686	285	432	19.649123	40.723454	21.0743311	11320.5	8070			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	CP015588|seryl-tRNA_synthetase|447749|448174|3333321|3334598|cluster-3|t1pks-nucleoside-nrps|304265-478639|2885147	400	425	19.75	74.588235	54.83823529	11319	3191.5			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	CP016279|seryl-tRNA_synthetase|2564465|2564890|2652840|2654117|cluster-2|t1pks-nrps|2485653-2611697|87950	400	425	20	71.294118	51.29411765	11318	3379			
CP008972|ArgK_OTCase|1683004|1683427|1249786|1250709|cluster-1|t1pks|1667707-1710676|432295	CSTD01000001|ArgK_OTCase|496408|496735|1130093|1131016|cluster-1|t1pks|474769-522229|633358	423	327	20.094563	86.319218	66.22465559	11317	1648.5			
CP024986|seryl-tRNA_synthetase|171147|171543|98440|99717|cluster-1|butyrolactone-t2pks-t1pks-nrps|37383-205074|71430	CPHM01000007|seryl-tRNA_synthetase|14638|15061|66234|67493|cluster-1|t1pks-nrps|1-80143|51173	396	423	20.454545	36.705882	16.2513369	11316	9911.5			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	LN831790|seryl-tRNA_synthetase|7376012|7376441|347431|348708|cluster-3|t1pks|7355977-7439461|7027304	400	429	20.5	97.647059	77.14705882	11315	865			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	LT721901|ArgK_OTCase|5163770|5164192|5023701|5024624|cluster-2|t1pks-nrps|5141696-5218957|139146	690	422	20.57971	87.62215	67.04243969	11314	1481.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	LT841359|ArgK_OTCase|3980553|3980978|2561211|2562134|cluster-2|t1pks-nrps|3960539-4019329|1418419	690	425	20.724638	85.34202	64.61738186	11313	1866.5			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	JH992893|AdmT_ACC|324249|324687|395501|396412|cluster-3|t1pks-nrps|248697-437096|70814	468	438	20.726496	45.964912	25.23841655	11312	6158			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	GV586860|seryl-tRNA_synthetase|8553639|8554065|2795949|2797232|cluster-34|t1pks|8533603-8578156|5756407	400	426	20.75	70.823529	50.07352941	11310.5	3482.5			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	LMRX01000023|seryl-tRNA_synthetase|1337980|1338405|735500|736756|cluster-1|t1pks-nrps|1317966-1375431|601224	400	425	20.75	40.470588	19.72058824	11310.5	8290			
CP026652|GyrB-R|1844422|1844762|2235468|2237591|cluster-2|butyrolactone-t1pks|1817790-1879981|390706	LNYU01000091|GyrB-R|158345|158763|481318|483735|cluster-2|t1pks|138328-184570|322555	340	418	20.882353	34.087694	13.20534154	11309	10481			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	QICS01000001|AdmT_ACC|601893|602313|257346|258143|cluster-1|transatpks-nrps|581851-647069|343750	468	420	20.940171	37.54386	16.60368871	11308	9616.5			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	CP015596|mupM_Ile-tRNA-syn|1036722|1037145|3635588|3638725|cluster-2|t1pks|1016591-1061978|2598443	272	423	20.955882	79.828735	58.87285219	11307	2968.5			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	GV586860|seryl-tRNA_synthetase|549750|550176|2795949|2797232|cluster-3|t1pks|478846-587017|2245773	400	426	21	70.823529	49.82352941	11305.5	3482.5			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	PHUB01000003|seryl-tRNA_synthetase|239775|240195|180902|182179|cluster-1|butyrolactone-melanin-t2pks-t1pks-nrps|38469-357801|57596	400	420	21	59.294118	38.29411765	11305.5	4728			
