target_name	target id	gbid	score_final	distance	homologs	homologs list	target ubiquity	copy number	Spearman correlation	p value	coevolution coefficient	antismashfile	cluster_num	cluster_type	gene_name	species	phyla	true positive	true positives homologs	score distance	score homologs	score target ubiquity	score copy number	score coevolution
Ornitine carbamoyl transferase	ArgK_OTCase	CP017593	3	4495	16	[u'CP008971', u'JAGZ01000001', u'KK338939', u'LQOK01000037', u'LQPF01000100', u'LT841359', u'LZHV01000055', u'LZJH01000077', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MIHB01000001', u'NCXP01000008', u'NKRB01000001', u'PEDJ01000075']	28	1	0.64	0.0	8.23804477039	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP017593_1740888_2041583/index.html	cluster-2	t3pks-t1pks	ctg1_123	Mycobacterium tuberculosis	Actinobacteria	False	False	1	1	0	0	1
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	KB913022	5	403	2	[u'FQ859185', u'KZ195583']	9	7	0.94	0.0	3.31511235825	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB913022_4507807_4813779/index.html	cluster-1	t1pks-nrps	ctg1_157	Salinispora pacifica DSM 45543 = CNS-863	Actinobacteria	True	False	1	1	1	1	1
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LT721901	2	4946	0	None	25	1	0.73	0.0	15.7289230916	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LT721901_4855155_5315089/index.html	cluster-2	t1pks-nrps	ctg1_223	Mycobacterium sp. AB57	Actinobacteria	False	False	1	0	0	0	1
Ornitine carbamoyl transferase	ArgK_OTCase	PEDJ01000075	3	4585	15	[u'CP008971', u'CP017593', u'CP019887', u'LQOK01000037', u'LQPF01000100', u'LT841359', u'LZHV01000055', u'LZJH01000077', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MIHB01000001', u'NCXP01000008', u'NKRB01000001']	28	1	0.64	0.0	5.85232057875	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PEDJ01000075/index.html	cluster-1	t3pks-t1pks	DL240490_01696	Mycobacterium marinum	Actinobacteria	False	False	1	1	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	BDBD01000011	2	4158	1	[u'PDDW01000001']	49	1	0.32	0.0	22.3155442873	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BDBD01000011_867822_1244349/index.html	cluster-1	nrps-t1pks-otherks	ctg1_136	Nocardia coubleae NBRC 108252	Actinobacteria	False	False	1	1	0	0	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	CP015588	3	961	1	[u'MTKC01000003']	19	1	0.3	0.0	18.4685482263	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP015588_2879269_3483174/index.html	cluster-3	t1pks-butyrolactone	ctg1_382	Streptomyces alfalfae	Actinobacteria	False	False	1	1	1	0	0
Ornitine carbamoyl transferase	ArgK_OTCase	CP001287	1	8701	0	None	28	1	0.64	0.0	5.80282321929	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP001287_2975680_3536025/index.html	cluster-1	t1pks-nrps	ctg1_130	Cyanothece sp. PCC 8801	Cyanobacteria	False	False	0	0	0	0	1
Elongation factor Tu	EF-Tu	RBAM01000014	1	8094	0	None	16	1	0.24	0.01	11.7534658034	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RBAM01000014/index.html	cluster-1	t1pks-nrps	D7231_28145	Streptomyces klenkii	Actinobacteria	False	False	0	0	1	0	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	AE014134	1	8580	0	None	19	0	0.3	0.0	6.57244930803	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AE014134/index.html	cluster-1	t1pks	Dmel_CG1_111	Drosophila melanogaster (fruit fly)	Metazoa	False	False	0	0	1	0	0
Beta proteasome subunit	SalI_beta_proteasome	AUKS01000001	1	7292	0	None	8	1	0.43	0.02	8.08204271905	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AUKS01000001/index.html	cluster-1	transatpks-t1pks-nrps	ctg1_17	Salinispora tropica CNT261	Actinobacteria	False	False	0	0	1	0	0
Acetyl CoA carboxylase	AdmT_ACC	CP017717	2	124	0	None	49	2	0.32	0.0	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP017717_9998332_10315588/index.html	cluster-1	ladderane-t1pks-arylpolyene-nrps	ctg1_145	Nonomuraea sp. ATCC 55076	Actinobacteria	False	False	1	0	0	1	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	MTKC01000003	3	1631	3	[u'AP010968', u'CP015588', u'JQLN01000002']	19	1	0.3	0.0	19.8395244258	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MTKC01000003_4048685_4896337/index.html	cluster-2	t1pks-otherks	ctg1_312	Streptomyces griseofuscus	Actinobacteria	False	False	1	1	1	0	0
Beta proteasome subunit	SalI_beta_proteasome	QMEY01000002	3	579	0	None	8	2	0.43	0.02	3.54577231699	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QMEY01000002/index.html	cluster-5	phenazine-t1pks-nrps	DP939_07340	Sphaerisporangium sp. LHW63015	Actinobacteria	False	False	1	0	1	1	0
Elongation factor Tu	EF-Tu	QXCZ01000001	3	2901	0	None	16	2	0.24	0.01	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QXCZ01000001_7729021_8512947/index.html	cluster-1	t1pks-otherks	ctg1_117	Streptomyces sp. 3212.5	Actinobacteria	False	False	1	0	1	1	0
Ornitine carbamoyl transferase	ArgK_OTCase	LQOK01000037	3	4580	13	[u'CP017593', u'LQPF01000100', u'LT841359', u'LZHV01000055', u'LZJH01000077', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MIHB01000001', u'NCXP01000008', u'NKRB01000001', u'PEDJ01000075']	28	1	0.64	0.0	6.37473256782	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQOK01000037/index.html	cluster-1	t3pks-t1pks	AWB93_16155	Mycobacterium bohemicum	Actinobacteria	False	False	1	1	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	KP710956	2	297	1	[u'LIPP01000032']	49	1	0.32	0.0	15.9652920628	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KP710956/index.html	cluster-1	t2pks-t1pks-otherks	dutM	Streptomyces minoensis	Actinobacteria	False	False	1	1	0	0	0
Acetyl CoA carboxylase	AdmT_ACC	NZ_RFFG01000027	1	61	0	None	49	0	0.32	0.0	17.8494439181	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_RFFG01000027/index.html	cluster-1	t2pks-oligosaccharide-t1pks-otherks	EBO15_RS17170	Actinomadura sp. NEAU-Ht49	Actinobacteria	False	False	1	0	0	0	0
Acetyl CoA carboxylase	AdmT_ACC	NJCW01000002	0	9599	0	None	49	1	0.32	0.0	9.66474273341	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NJCW01000002/index.html	cluster-1	otherks-t1pks-PUFA-nrps	Xekj_00398	Xenorhabdus sp. KJ12.1	Proteobacteria	False	False	0	0	0	0	0
